Number Plate,Name,Emission Test Expiry,Insurance Expiry,Mobile Number
KA04 MN 7311,John Doe,15-08-2026 21:44,20-10-2026 21:44,7052712427
KA06 GH 5730,Jane Smith,13-07-2026 21:44,25-09-2026 21:44,8355954762
KA25 KL 8298,Alice Johnson,09-02-2026 21:44,29-05-2026 21:44,8290984012
KA34 CD 3729,Bob Lee,02-05-2026 21:44,09-03-2026 21:44,7966750419
KA86 GH 2822,Charlie Brown,11-06-2026 21:44,01-10-2026 21:44,8883600836
KA90 CD 5720,David Wilson,15-07-2026 21:44,08-06-2026 21:44,8194051598
KA08 EF 5405,Eva Green,06-02-2026 21:44,25-04-2026 21:44,9519106057
KA83 EF 1116,Frank Harris,23-02-2026 21:44,12-03-2026 21:44,9848638315
KA46 QR 1496,Grace Lee,27-01-2026 21:44,17-04-2026 21:44,7307119383
KA65 GH 8110,Henry Moore,13-10-2026 21:44,05-10-2026 21:44,7782035994
KA75 AB 8611,Ivy Davis,26-03-2026 21:44,20-10-2026 21:44,7666081064
KA32 IJ 7998,Jack Thomas,01-10-2026 21:44,25-07-2026 21:44,7873148345
KA96 OP 4171,Kelly Adams,23-06-2026 21:44,14-07-2026 21:44,9388858539
KA61 AB 7059,Liam White,28-11-2026 21:44,12-12-2026 21:44,7594062240
KA09 MN 7475,Mia Black,10-06-2026 21:44,12-12-2026 21:44,7377005722
KA33 GH 6594,Noah Martin,11-05-2026 21:44,24-02-2026 21:44,7806341854
KA58 KL 2232,Olivia Garcia,12-11-2026 21:44,29-06-2026 21:44,8901871183
KA19 KL 2364,Paul Walker,29-10-2026 21:44,28-09-2026 21:44,8339847923
KA26 KL 3918,Quincy Scott,22-12-2025 21:44,03-08-2026 21:44,9882294338
KA23 QR 8655,Rachel King,08-04-2026 21:44,30-07-2026 21:44,8344589274
KA74 MN 1907,Samuel Wright,06-10-2026 21:44,02-02-2026 21:44,8571589346
KA15 OP 5761,Tina Brown,23-07-2026 21:44,10-11-2026 21:44,7770815389
KA90 OP 3095,Ursula Clark,20-05-2026 21:44,20-09-2026 21:44,9081268147
KA42 IJ 6129,Victor Lewis,01-11-2026 21:44,30-11-2026 21:44,8297857722
KA62 QR 6137,Wendy Young,09-04-2026 21:44,25-12-2025 21:44,8825941019
KA09 KL 8895,Xander Hall,25-03-2026 21:44,22-12-2025 21:44,7866316311
KA37 IJ 7890,Yara Green,03-10-2026 21:44,15-09-2026 21:44,7096699994
KA34 AB 8834,Zane Hill,19-04-2026 21:44,07-05-2026 21:44,8692766219
KA32 OP 5178,Adam Scott,25-12-2025 21:44,27-05-2026 21:44,7124102863
KA72 EF 3266,Bella Moore,08-07-2026 21:44,26-11-2026 21:44,8591723678
KA58 CD 4532,John Doe,31-07-2026 21:44,26-02-2026 21:44,7755731835
KA46 QR 6616,Jane Smith,23-10-2026 21:44,01-08-2026 21:44,9243548227
KA06 OP 6845,Alice Johnson,28-04-2026 21:44,05-02-2026 21:44,8802315495
KA36 OP 4937,Bob Lee,01-07-2026 21:44,18-08-2026 21:44,8491527793
KA33 EF 4083,Charlie Brown,25-12-2025 21:44,03-07-2026 21:44,8290410620
KA13 GH 3218,David Wilson,28-07-2026 21:44,20-02-2026 21:44,8823835154
KA11 ST 3273,Eva Green,27-04-2026 21:44,02-06-2026 21:44,8131781211
KA99 KL 7340,Frank Harris,22-08-2026 21:44,27-10-2026 21:44,7138508875
KA94 CD 4231,Grace Lee,30-06-2026 21:44,27-04-2026 21:44,8123497269
KA96 IJ 3516,Henry Moore,04-08-2026 21:44,11-07-2026 21:44,9966238934
KA07 KL 3203,Ivy Davis,03-12-2026 21:44,01-01-2026 21:44,9114186362
KA15 IJ 6208,Jack Thomas,01-08-2026 21:44,14-07-2026 21:44,8148701752
KA27 ST 7214,Kelly Adams,21-05-2026 21:44,29-12-2025 21:44,9513731792
KA58 GH 3077,Liam White,31-12-2025 21:44,22-01-2026 21:44,8613673941
KA19 AB 8914,Mia Black,02-12-2026 21:44,16-11-2026 21:44,7805211338
KA85 AB 9142,Noah Martin,05-04-2026 21:44,14-11-2026 21:44,9188089001
KA48 QR 3373,Olivia Garcia,27-03-2026 21:44,17-01-2026 21:44,8799313965
KA72 MN 2155,Paul Walker,29-03-2026 21:44,18-02-2026 21:44,9157051544
KA47 CD 4078,Quincy Scott,07-12-2026 21:44,03-12-2026 21:44,8413387420
KA06 QR 4825,Rachel King,14-12-2024 21:55,14-12-2024 21:55,9778496014
